Downloads and Resources,,,,,,,,
DaVinci Project File Template,DaVinci Export Presets,DaVinci Burn-In Presets,DaVinci Color PowerGrades,Video Tutorial Resources,Shot Sheet Builder,Shot Sheet Builder Video Tutorial,Shot Sheet Builder Documentation,
DaVinci Template Project Files,DaVinci Render Presets,DaVinci Burn-In Preset,DaVinci PowerGrades,*coming soon,shot_sheet_builder_v3.0.zip,Shot Sheet Builder_v2.1 walkthrough.mp4,Shot Sheet Builder v3.0 — Walkthrough Guide,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Frame Rate,Camera Color Space,Render Color Space,Ratio,Min Length,Max Length,,,
24 fps,Camera Log,sRGB,16:9,"5 second
(120 frames)","10 seconds
(240 frames)",,,
,,,,,,,,
,,,,,,,,
Type,Codec,Wrapper/Format,Resolution,Naming convention,Naming Example,Subfolder Naming Convention,Subfolder Naming Example,Required/Optional/If Needed
4k Raw Original Main Plate,DWAA 45,.exr,3840x2160,[SHOTCODE][####]_pl01_raw_4k_v01.[1001-1240].exr,MELT0001_pl01_raw_4k_v01.1001.exr,[SHOTCODE][####]_pl01_raw_4k_v01,MELT0001_pl01_raw_4k_v01,Required
HD Raw Original Main Plate,DWAA 45,.exr,1920x1080,[SHOTCODE][####]_pl01_raw_HD_v01.[1001-1240].exr,MELT0001_pl01_raw_HD_v01.1001.exr,[SHOTCODE][####]_pl01_raw_HD_v01,MELT0001_pl01_raw_HD_v01,Required
4k Reference Original Main Plate,H.264,.mp4,3840x2160,[SHOTCODE][####]_pl01_ref_4k_v01.mp4,MELT0001_pl01_ref_4k_v01.mp4,,,Required
HD Reference Original Main Plate,H.264,.mp4,1920x1080,[SHOTCODE][####]_pl01_ref_HD_v01.mp4,MELT0001_pl01_ref_HD_v01.mp4,,,Required
4k Raw Clean Plate,DWAA 45,.exr,3840x2160,[SHOTCODE][####]_cp01_raw_4k_v01.[1001-1240].exr,MELT0001_cp01_raw_4k_v01.1001.exr,[SHOTCODE][####]_cp01_raw_4k_v01,MELT0001_cp01_raw_4k_v01,Required
HD Raw Clean Plate,DWAA 45,.exr,1920x1080,[SHOTCODE][####]_cp01_raw_HD_v01.[1001-1240].exr,MELT0001_cp01_raw_HD_v01.1001.exr,[SHOTCODE][####]_cp01_raw_HD_v01,MELT0001_cp01_raw_HD_v01,Required
4k Reference Clean Plate,H.264,.mp4,3840x2160,[SHOTCODE][####]_cp01_ref_4k_v01.mp4,MELT0001_cp01_ref_4k_v01.mp4,,,Required
HD Reference Clean Plate,H.264,.mp4,1920x1080,[SHOTCODE][####]_cp01_ref_HD_v01.mp4,MELT0001_cp01_ref_HD_v01.mp4,,,Required
Audio for Main Plate,Linear PCM,.wav,16 Bits,[SHOTCODE][####]_pl01_audio_v01.wav,MELT0001_pl01_audio_v01.wav,,,Required
HDRI,OpenEXR,.exr,Max Camera Res,[SHOTCODE][####]_pl01_HDRI_v01.exr,MELT0001_pl01_HDRI_v01.exr,,,Required
